                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     22,                0.81185,                 1.7629,                0.14788,                0.25772,                 0.4566,                 0.7809,                0.82621,                0.85928,                 0.7437,                 0.7831,                 0.8078,                0.83578,                0.62199,                0.78095,                 1.4322,                0.10547,                0.27095,                 0.4587,               0.007919,               0.007919,               0.007919
                     23,                0.80784,                 1.7381,                0.14666,                 0.2552,                0.45488,                0.78395,                0.81804,                0.85677,                0.74308,                0.78556,                0.80662,                0.83385,                0.62187,                0.77762,                 1.4288,                0.10547,                0.27141,                0.45727,              0.0078199,              0.0078199,              0.0078199
                     24,                0.80364,                 1.7224,                0.14504,                0.25337,                0.45454,                0.79134,                0.82015,                0.86482,                0.74939,                0.79341,                0.80688,                0.84177,                0.62754,                0.77551,                 1.4116,                0.10457,                0.26564,                0.45683,              0.0077208,              0.0077208,              0.0077208
                     25,                 0.7992,                 1.6993,                0.14458,                 0.2514,                0.45396,                0.79228,                0.82303,                0.86706,                0.75142,                0.79508,                0.80987,                0.84478,                0.63029,                0.77221,                 1.4029,                0.10272,                0.26591,                0.45576,              0.0076217,              0.0076217,              0.0076217
                     26,                0.79397,                 1.6844,                0.14313,                0.24947,                0.45207,                0.79004,                0.82565,                0.86415,                0.75014,                0.79122,                0.81385,                0.84225,                0.63102,                 0.7698,                 1.3926,                0.10316,                0.26408,                 0.4553,              0.0075226,              0.0075226,              0.0075226
                     27,                0.79436,                  1.679,                0.14196,                0.25037,                0.45175,                0.78277,                0.82526,                 0.8628,                0.74946,                0.78694,                0.81044,                0.83992,                0.63028,                0.76784,                 1.3835,                0.10233,                0.26564,                0.45554,              0.0074235,              0.0074235,              0.0074235
                     28,                0.79087,                 1.6628,                0.14159,                 0.2489,                 0.4518,                0.78075,                 0.8281,                  0.864,                0.75072,                0.78277,                0.81389,                0.84359,                0.63322,                0.76818,                 1.3725,                0.10184,                0.26584,                 0.4555,              0.0073244,              0.0073244,              0.0073244
                     29,                0.78398,                 1.6373,                 0.1411,                0.24716,                0.44992,                0.78375,                0.82655,                0.86526,                0.75269,                0.78533,                0.81526,                0.84524,                0.63478,                0.76683,                   1.37,                0.10173,                0.26521,                0.45455,              0.0072253,              0.0072253,              0.0072253
                     30,                0.78276,                 1.6356,                0.13991,                 0.2464,                0.44984,                0.78008,                0.82466,                0.86063,                0.74893,                0.77903,                0.81526,                 0.8405,                0.63265,                0.76463,                 1.3657,                0.10152,                0.26924,                0.45412,              0.0071262,              0.0071262,              0.0071262
                     31,                 0.7793,                 1.6245,                0.13963,                 0.2436,                0.44929,                0.77818,                0.82162,                0.85624,                0.74566,                0.77769,                 0.8133,                0.83621,                  0.631,                0.76356,                 1.3649,                0.10134,                0.27157,                0.45409,              0.0070271,              0.0070271,              0.0070271
                     32,                0.77904,                 1.6096,                0.13847,                 0.2444,                0.44876,                0.77324,                 0.8256,                 0.8559,                0.74579,                0.77751,                0.81604,                0.83654,                0.63096,                0.76211,                 1.3595,                0.10004,                0.27084,                0.45371,               0.006928,               0.006928,               0.006928
                     33,                0.77204,                 1.5939,                0.13764,                0.24211,                0.44784,                0.77641,                0.82731,                0.85845,                0.74858,                0.78039,                0.81889,                0.84037,                0.63416,                0.76068,                 1.3515,                0.09964,                0.26875,                0.45342,              0.0068289,              0.0068289,              0.0068289
                     34,                0.77133,                 1.5954,                0.13718,                0.24188,                0.44699,                0.76771,                0.83452,                 0.8575,                0.74816,                0.77648,                0.81911,                0.83966,                0.63387,                0.75886,                 1.3479,                0.09907,                0.26898,                0.45288,              0.0067298,              0.0067298,              0.0067298
                     35,                0.76502,                 1.5632,                0.13548,                0.23876,                0.44595,                0.77687,                0.82833,                0.85949,                0.75001,                0.77956,                0.81575,                 0.8418,                0.63572,                0.75793,                 1.3426,                0.09857,                0.26718,                0.45287,              0.0066307,              0.0066307,              0.0066307
                     36,                0.76487,                 1.5773,                0.13443,                0.23942,                0.44603,                0.77665,                0.83083,                0.86022,                0.75049,                0.77782,                0.81946,                0.84201,                0.63699,                0.75757,                 1.3386,                0.09802,                0.26658,                0.45275,              0.0065316,              0.0065316,              0.0065316
                     37,                 0.7642,                 1.5639,                0.13521,                0.23817,                0.44602,                 0.7757,                0.83458,                0.86111,                0.75168,                0.77896,                0.82173,                0.84328,                0.63783,                0.75648,                 1.3349,                0.09765,                0.26554,                0.45242,              0.0064325,              0.0064325,              0.0064325
                     38,                0.75873,                 1.5425,                0.13402,                0.23681,                0.44455,                0.77947,                0.83163,                0.86184,                0.75281,                0.77746,                0.82174,                0.84396,                0.63874,                0.75577,                 1.3309,                 0.0972,                0.26492,                 0.4521,              0.0063334,              0.0063334,              0.0063334
                     39,                0.75912,                 1.5512,                0.13392,                0.23637,                0.44486,                0.77604,                0.83504,                0.86187,                0.75273,                0.77886,                0.82162,                0.84466,                0.63892,                0.75493,                 1.3274,                0.09693,                0.26414,                0.45182,              0.0062344,              0.0062344,              0.0062344
                     40,                0.75473,                 1.5318,                 0.1333,                0.23486,                0.44375,                0.77648,                0.83561,                0.86215,                0.75341,                0.77689,                0.82264,                0.84522,                0.63941,                0.75385,                 1.3236,                0.09647,                0.26393,                0.45165,              0.0061353,              0.0061353,              0.0061353
                     41,                0.74969,                  1.523,                0.13245,                0.23404,                0.44321,                0.77591,                0.83374,                0.86141,                0.75334,                0.77633,                0.82106,                0.84441,                0.63935,                0.75305,                 1.3215,                0.09612,                0.26479,                 0.4514,              0.0060362,              0.0060362,              0.0060362
                     42,                 0.7492,                 1.5033,                0.13146,                0.23246,                0.44233,                0.77727,                0.83458,                0.86179,                0.75376,                 0.7775,                 0.8231,                0.84486,                0.63994,                  0.752,                 1.3194,                0.09589,                0.26399,                0.45123,              0.0059371,              0.0059371,              0.0059371
                     43,                0.74896,                 1.5164,                0.13215,                0.23235,                0.44266,                0.77663,                0.83522,                0.86174,                 0.7539,                0.77496,                0.82526,                0.84506,                0.64012,                0.75136,                 1.3162,                0.09555,                 0.2641,                0.45105,               0.005838,               0.005838,               0.005838
                     44,                0.74513,                 1.4931,                0.12989,                0.23105,                0.44206,                0.77361,                0.83549,                0.86141,                0.75395,                0.77647,                0.82276,                0.84499,                0.64032,                0.75061,                 1.3142,                0.09528,                0.26433,                 0.4509,              0.0057389,              0.0057389,              0.0057389
                     45,                0.73936,                 1.4892,                0.12969,                0.22917,                0.44128,                0.77226,                0.83774,                0.86187,                0.75452,                0.77351,                0.82663,                0.84549,                  0.641,                0.75019,                 1.3125,                0.09499,                0.26394,                0.45078,              0.0056398,              0.0056398,              0.0056398
                     46,                0.74331,                 1.5086,                0.13084,                0.23089,                0.44172,                0.77266,                 0.8364,                0.86231,                0.75515,                0.77159,                0.82879,                0.84548,                 0.6411,                0.74963,                 1.3116,                0.09477,                0.26364,                0.45064,              0.0055407,              0.0055407,              0.0055407
                     47,                0.73977,                 1.4827,                0.12965,                 0.2287,                0.44061,                0.76995,                  0.839,                0.86218,                0.75522,                0.77007,                0.82935,                0.84571,                0.64144,                0.74931,                 1.3096,                0.09455,                0.26353,                0.45057,              0.0054416,              0.0054416,              0.0054416
                     48,                0.73596,                  1.465,                0.12884,                0.22642,                0.43913,                0.76956,                0.83866,                0.86224,                 0.7553,                0.77187,                0.82856,                 0.8458,                0.64179,                0.74913,                  1.308,                0.09434,                0.26306,                0.45055,              0.0053425,              0.0053425,              0.0053425
                     49,                0.73491,                 1.4634,                0.12786,                0.22735,                 0.4398,                0.77043,                 0.8389,                0.86245,                 0.7556,                0.76999,                0.83049,                0.84603,                0.64277,                0.74873,                  1.306,                0.09419,                 0.2629,                0.45042,              0.0052434,              0.0052434,              0.0052434
                     50,                0.73467,                 1.4685,                0.12815,                0.22648,                0.44031,                0.77166,                0.83796,                0.86271,                0.75581,                0.77168,                0.83038,                0.84648,                0.64296,                0.74824,                 1.3046,                0.09408,                 0.2625,                0.45031,              0.0051443,              0.0051443,              0.0051443
                     51,                0.73156,                 1.4601,                0.12787,                0.22639,                0.43952,                0.77313,                0.83648,                0.86323,                0.75615,                0.77184,                0.82879,                0.84661,                0.64373,                 0.7478,                 1.3033,                 0.0939,                0.26228,                0.45026,              0.0050452,              0.0050452,              0.0050452
                     52,                0.72789,                 1.4531,                0.12719,                0.22446,                0.43925,                 0.7731,                0.83777,                0.86366,                0.75668,                0.77543,                0.82492,                0.84705,                0.64416,                0.74748,                 1.3022,                0.09368,                0.26173,                0.45017,              0.0049461,              0.0049461,              0.0049461
                     53,                0.72627,                  1.436,                0.12558,                0.22279,                0.43836,                0.77439,                0.83652,                0.86396,                0.75718,                0.77522,                0.82606,                0.84752,                 0.6447,                0.74713,                 1.3007,                0.09351,                0.26126,                0.45012,               0.004847,               0.004847,               0.004847
                     54,                0.72436,                 1.4356,                0.12586,                0.22211,                0.43824,                0.77014,                0.84061,                0.86374,                0.75723,                0.77572,                0.82576,                0.84759,                 0.6452,                0.74663,                 1.2997,                0.09334,                 0.2611,                0.45003,              0.0047479,              0.0047479,              0.0047479
                     55,                0.72203,                 1.4272,                0.12503,                0.22083,                0.43731,                0.76913,                0.84156,                0.86334,                0.75734,                0.77557,                0.82621,                0.84718,                0.64537,                0.74623,                 1.2984,                0.09317,                0.26108,                 0.4499,              0.0046488,              0.0046488,              0.0046488
                     56,                0.72135,                 1.4204,                0.12493,                0.22032,                0.43706,                0.77109,                0.84058,                0.86382,                0.75771,                0.77538,                0.82663,                 0.8475,                0.64551,                0.74596,                 1.2973,                0.09301,                 0.2608,                0.44982,              0.0045497,              0.0045497,              0.0045497
